Ejecucion,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,f(x)
0,0.001,-0.001,0.001,0.000,-0.001,0.001,0.000,0.000,-0.001,-0.001,0.001
1,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,-0.001,0.000
2,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.004,0.000,0.000,0.004
3,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,-0.001,0.001,-0.001,0.000,0.000,0.001,0.000,0.002,0.001
5,-0.001,0.001,0.000,0.003,0.001,-0.002,0.000,0.001,-0.001,-0.001,0.003
6,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,-0.001,0.002
7,0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000
8,0.000,-0.002,-0.002,-0.005,-0.002,-0.001,0.000,0.001,-0.001,0.001,0.009
9,0.002,0.000,0.003,0.001,-0.001,0.000,0.000,0.001,0.001,0.001,0.004
10,-0.008,-0.011,0.001,-0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.037
11,-0.002,-0.001,-0.004,-0.001,-0.003,0.001,0.000,-0.002,-0.001,0.000,0.006
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.002
13,0.000,-0.001,0.001,0.995,0.000,-0.001,-0.001,-0.001,-0.001,0.000,0.996
14,0.000,0.000,0.001,-0.001,0.001,0.000,0.001,-0.001,0.000,0.000,0.001
15,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.002,-0.001,-0.001,0.001
16,-0.001,0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,0.000,0.000,0.001
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000
18,-0.001,0.000,0.000,-0.001,-0.001,0.000,0.001,0.001,0.000,-0.002,0.001
19,0.995,-0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.994,1.991
20,0.000,0.000,-0.001,-0.001,0.000,0.000,0.000,-0.001,0.001,0.001,0.001
21,0.001,0.001,0.001,0.000,-0.001,-0.995,0.001,0.000,-0.001,0.000,0.996
22,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,-0.001,0.001,0.000,-0.001,-0.001,-0.002,0.000,0.000,-0.002,0.000,0.003
24,-0.002,0.001,0.000,-0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.003
25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000
27,-0.002,0.000,-0.001,-0.002,0.001,0.001,-0.001,0.001,0.000,-0.002,0.002
28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,0.000,0.000,0.000,0.000,-0.001,0.001,-0.001,0.000,0.000,0.000,0.001
