Ejecucion,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,f(x)
0,0.033,0.103,0.044,-0.124,-0.014,-0.015,-0.075,0.089,-0.042,-0.123,0.060
1,-0.002,-0.031,-0.129,0.108,0.012,0.005,0.000,-0.024,0.084,0.028,0.038
2,0.005,-0.001,0.096,0.067,0.041,0.130,-0.009,0.002,0.038,0.111,0.046
3,0.047,-0.063,-0.050,-0.066,-0.259,-0.012,-0.027,0.033,-0.005,0.052,0.085
4,-0.015,0.086,0.001,-0.078,-0.023,0.063,0.034,-0.320,0.002,0.049,0.124
5,-0.067,-0.087,-0.144,-0.014,-0.151,-0.035,0.142,-0.014,-0.070,-0.317,0.183
6,-0.058,-0.029,-0.058,-0.094,-0.061,0.014,-0.006,-0.069,0.022,-0.042,0.027
7,-0.001,-0.021,0.075,-0.049,0.024,0.043,0.036,0.003,0.077,0.066,0.023
8,0.070,-0.066,0.092,-0.076,-0.081,-0.046,0.017,0.060,0.006,0.093,0.045
9,0.047,-0.165,0.009,-0.027,0.002,0.084,-0.021,-0.022,-0.075,0.099,0.054
10,0.130,-0.047,0.080,0.218,-0.167,0.002,-0.027,0.131,0.013,-0.018,0.119
11,0.100,-0.114,-0.179,0.051,-0.157,-0.017,-0.044,0.072,0.136,-0.014,0.108
12,-0.135,-0.013,-0.080,0.004,-0.048,0.122,-0.051,-0.007,0.020,-0.078,0.051
13,-0.056,-0.178,0.002,0.016,0.022,0.008,-0.089,0.016,0.080,-0.013,0.050
14,-0.090,0.072,0.027,0.001,-0.056,-0.092,-0.003,-0.082,-0.008,-0.011,0.033
15,0.160,0.055,-0.059,-0.027,-0.006,-0.012,-0.072,0.080,-0.053,-0.021,0.048
16,0.119,0.009,0.009,0.033,0.085,0.061,-0.035,0.127,0.061,0.179,0.079
17,0.042,-0.029,-0.179,-0.025,-0.001,-0.005,0.003,-0.049,0.043,0.083,0.046
18,-0.051,-0.086,-0.114,-0.031,0.251,0.079,0.006,0.065,-0.008,0.064,0.102
19,-0.105,0.019,-0.063,-0.028,-0.086,-0.001,-0.101,0.043,-0.009,0.019,0.036
20,-0.045,0.008,-0.027,-0.008,-0.008,-0.113,0.020,0.011,-0.196,0.011,0.055
21,-0.078,-0.080,-0.177,0.090,0.042,-0.069,0.063,-0.110,0.051,0.030,0.078
22,0.162,0.047,-0.005,-0.075,0.009,-0.014,-0.169,0.132,0.049,-0.013,0.083
23,-0.090,-0.013,-0.016,-0.123,0.031,0.013,-0.102,-0.027,-0.172,-0.023,0.066
24,-0.019,0.002,0.032,-0.116,0.029,0.006,-0.288,-0.207,0.050,0.045,0.146
25,0.023,0.067,-0.081,0.081,-0.011,-0.016,0.005,0.001,0.039,-0.006,0.020
26,-0.039,-0.010,-0.041,0.080,0.127,0.006,0.211,0.045,-0.166,0.045,0.102
27,0.009,-0.107,-0.052,-0.010,0.027,0.003,-0.081,-0.044,-0.023,0.014,0.024
28,0.041,0.012,-0.028,-0.041,-0.315,-0.204,0.091,0.104,0.078,-0.003,0.171
29,-0.026,-0.006,-0.087,-0.168,0.127,0.011,0.000,0.025,-0.125,0.159,0.094
