Ejecucion,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,f(x)
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.001,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,-0.001,0.000,0.000
2,0.001,0.000,0.000,0.000,-0.001,0.000,0.000,0.001,0.000,0.000,0.000
3,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
11,0.000,0.001,0.000,-0.001,0.000,0.001,0.000,0.001,-0.001,0.000,0.000
12,0.000,0.001,0.000,0.000,0.002,-0.001,0.000,0.000,-0.001,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,-0.001,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
23,0.000,0.000,0.000,-0.001,0.000,-0.001,0.000,0.000,0.000,0.000,0.000
24,-0.001,-0.001,0.000,-0.002,0.000,0.001,-0.001,0.000,0.000,-0.001,0.000
25,-0.001,0.000,0.000,0.000,0.001,0.000,-0.001,0.000,0.000,0.000,0.000
26,-0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,0.000,0.001,0.001,-0.001,0.000,0.000,0.000,0.000,-0.001,0.000,0.000
28,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
29,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
